"ratings","rating count","read comments count","given point","comment count","rank"
"4.7","56","8","5","8",""
"4.95","8","8","8","8",""
"4.4","977","30","7","203",""
"5","7","7","4","7",""
"4.8","29","15","7","15",""
"4.8","21","8","5","8",""
"5","71","23","7","23",""
"5","5","1","2","1",""
"4.8","25","6","6","6",""
"2.8","104","53","8","53",""
"5","4","1","2","1",""
"4.7","60","26","6","26",""
"4.8","68","18","7","18",""
"4.8","104","30","6","45",""
"4.2","7608","50","6","535",""
"3.9","211","44","5","44",""
"4.2","1352","60","7","481",""
"4.4","213","22","5","22",""
"4","201","35","7","46",""
"3.1","24","6","4","6",""
"4.7","2681","80","8","564",""
"4.4","593","68","7","54",""
"4.8","2046","75","8","244",""
"3.6","198","32","4","35",""
"3.6","1997","76","6","519",""
"4.1","438","72","7","162",""
"3.2","51","18","4","18",""
"4.2","1721","88","6","239",""
